flid,uid,time,timestr,buid,x,y,deck,modelid,foid,flid:1,oid,height,width,ocr
1,pmpeis,1657206817,"Jul 07, 2022 18:13:37",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695030261422,11.911734826863,3,1,1,1,43,181.2619934082,276.28167724609,
2,pmpeis,1657206908,"Jul 07, 2022 18:15:08",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.694985824714,11.911623515189,3,1,2,2,2,91.383850097656,121.46068572998,
2,pmpeis,1657206908,"Jul 07, 2022 18:15:08",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.694985824714,11.911623515189,3,1,3,2,44,114.7477722168,156.29815673828,a3
2,pmpeis,1657206908,"Jul 07, 2022 18:15:08",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.694985824714,11.911623515189,3,1,4,2,44,65.549346923828,150.61175537109,
2,pmpeis,1657206908,"Jul 07, 2022 18:15:08",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.694985824714,11.911623515189,3,1,5,2,47,92.027526855469,158.10913085938,
2,pmpeis,1657206908,"Jul 07, 2022 18:15:08",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.694985824714,11.911623515189,3,1,6,2,57,83.95166015625,137.29473876953,
2,pmpeis,1657206908,"Jul 07, 2022 18:15:08",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.694985824714,11.911623515189,3,1,7,2,59,61.653991699219,93.919677734375,
2,pmpeis,1657206908,"Jul 07, 2022 18:15:08",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.694985824714,11.911623515189,3,1,8,2,60,50.195709228516,83.281341552734,
3,pmpeis,1657206991,"Jul 07, 2022 18:16:31",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.694949451077,11.911523938179,3,1,9,3,55,79.634063720703,96.124359130859,
3,pmpeis,1657206991,"Jul 07, 2022 18:16:31",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.694949451077,11.911523938179,3,1,10,3,62,57.798583984375,75.673889160156,
4,pmpeis,1657207138,"Jul 07, 2022 18:18:58",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.694886379463,11.911481022835,3,1,11,4,64,128.4871673584,175.50840759277,
5,pmpeis,1657207209,"Jul 07, 2022 18:20:09",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.69486469857,11.911546736956,3,1,12,5,2,123.61953735352,125.2474822998,
6,pmpeis,1657207275,"Jul 07, 2022 18:21:15",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695041549771,11.911779083312,3,1,13,6,5,83.827331542969,78.283889770508,
7,pmpeis,1657207416,"Jul 07, 2022 18:23:36",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695122359911,11.912274286151,3,1,14,7,44,127.03221130371,250.79870605469,PILOT Dnon
8,pmpeis,1657207674,"Jul 07, 2022 18:27:54",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695309960583,11.91274870187,3,1,15,8,55,48.812927246094,108.35803222656,
8,pmpeis,1657207674,"Jul 07, 2022 18:27:54",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695309960583,11.91274870187,3,1,16,8,61,90.730026245117,110.96684265137,
9,pmpeis,1657207729,"Jul 07, 2022 18:28:49",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695168409067,11.912404373288,3,1,17,9,30,201.36318969727,221.46606445312,
10,pmpeis,1657207770,"Jul 07, 2022 18:29:30",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695271437124,11.912368163466,3,1,18,10,5,107.16766357422,91.575485229492,"MO 179
.T.6317"
10,pmpeis,1657207770,"Jul 07, 2022 18:29:30",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695271437124,11.912368163466,3,1,19,10,5,122.52160644531,93.999221801758,"MO
9417819S
T."
10,pmpeis,1657207770,"Jul 07, 2022 18:29:30",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695271437124,11.912368163466,3,1,20,10,49,70.265731811523,127.63787841797,
10,pmpeis,1657207770,"Jul 07, 2022 18:29:30",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695271437124,11.912368163466,3,1,21,10,49,72.717041015625,105.01800537109,
10,pmpeis,1657207770,"Jul 07, 2022 18:29:30",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695271437124,11.912368163466,3,1,22,10,49,82.823150634766,115.21109008789,
11,pmpeis,1657208147,"Jul 07, 2022 18:35:47",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695647711015,11.913310959935,3,1,23,11,5,143.05941772461,73.73469543457,O9417S
11,pmpeis,1657208147,"Jul 07, 2022 18:35:47",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695647711015,11.913310959935,3,1,24,11,5,136.4762878418,63.675109863281,MO 9417
11,pmpeis,1657208147,"Jul 07, 2022 18:35:47",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695647711015,11.913310959935,3,1,25,11,59,65.356140136719,73.4814453125,
11,pmpeis,1657208147,"Jul 07, 2022 18:35:47",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695647711015,11.913310959935,3,1,26,11,59,49.219085693359,63.630828857422,
12,pmpeis,1657208203,"Jul 07, 2022 18:36:43",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695666882961,11.913362927735,3,1,27,12,59,97.770690917969,114.58465576172,
12,pmpeis,1657208203,"Jul 07, 2022 18:36:43",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695666882961,11.913362927735,3,1,28,12,88,117.08903503418,64.067810058594,
12,pmpeis,1657208203,"Jul 07, 2022 18:36:43",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695666882961,11.913362927735,3,1,29,12,88,196.1692199707,74.078353881836,
13,pmpeis,1657208285,"Jul 07, 2022 18:38:05",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695713648133,11.913435012102,3,1,30,13,88,106.67599487305,69.731872558594,
14,pmpeis,1657276518,"Jul 08, 2022 13:35:18",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.69497973258,11.911608092487,4,1,31,14,52,165.28286743164,105.42114257812,
14,pmpeis,1657276518,"Jul 08, 2022 13:35:18",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.69497973258,11.911608092487,4,1,32,14,52,161.35803222656,105.29818725586,
14,pmpeis,1657276518,"Jul 08, 2022 13:35:18",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.69497973258,11.911608092487,4,1,33,14,55,80.659606933594,187.36547851562,
14,pmpeis,1657276518,"Jul 08, 2022 13:35:18",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.69497973258,11.911608092487,4,1,34,14,55,93.438140869141,189.95259094238,
14,pmpeis,1657276518,"Jul 08, 2022 13:35:18",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.69497973258,11.911608092487,4,1,35,14,55,117.68771362305,236.4266204834,
14,pmpeis,1657276518,"Jul 08, 2022 13:35:18",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.69497973258,11.911608092487,4,1,36,14,55,127.60311889648,244.59600830078,
14,pmpeis,1657276518,"Jul 08, 2022 13:35:18",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.69497973258,11.911608092487,4,1,37,14,55,77.574920654297,201.41024780273,
14,pmpeis,1657276518,"Jul 08, 2022 13:35:18",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.69497973258,11.911608092487,4,1,38,14,55,73.096649169922,143.34866333008,
14,pmpeis,1657276518,"Jul 08, 2022 13:35:18",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.69497973258,11.911608092487,4,1,39,14,55,80.310302734375,144.24371337891,
14,pmpeis,1657276518,"Jul 08, 2022 13:35:18",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.69497973258,11.911608092487,4,1,40,14,55,77.134384155273,150.65466308594,
15,pmpeis,1657276686,"Jul 08, 2022 13:38:06",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.69496772749,11.911913193762,4,1,41,15,50,55.245666503906,232.92379760742,
15,pmpeis,1657276686,"Jul 08, 2022 13:38:06",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.69496772749,11.911913193762,4,1,42,15,52,233.33108520508,183.66802978516,
16,pmpeis,1657276801,"Jul 08, 2022 13:40:01",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695136515105,11.912076473236,4,1,43,16,19,55.432952880859,70.628173828125,
16,pmpeis,1657276801,"Jul 08, 2022 13:40:01",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695136515105,11.912076473236,4,1,44,16,19,55.152740478516,73.809051513672,
16,pmpeis,1657276801,"Jul 08, 2022 13:40:01",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695136515105,11.912076473236,4,1,45,16,44,184.93304443359,239.52960205078,PASSINIIR
16,pmpeis,1657276801,"Jul 08, 2022 13:40:01",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695136515105,11.912076473236,4,1,46,16,44,250.77667236328,320.09494018555,sEEEs
17,pmpeis,1657276983,"Jul 08, 2022 13:43:03",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695228792503,11.912565641105,4,1,47,17,19,54.379852294922,51.610107421875,
17,pmpeis,1657276983,"Jul 08, 2022 13:43:03",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695228792503,11.912565641105,4,1,48,17,52,171.10906982422,94.800750732422,
17,pmpeis,1657276983,"Jul 08, 2022 13:43:03",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695228792503,11.912565641105,4,1,49,17,52,158.63179016113,85.700866699219,
17,pmpeis,1657276983,"Jul 08, 2022 13:43:03",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695228792503,11.912565641105,4,1,50,17,52,83.814910888672,78.307159423828,
17,pmpeis,1657276983,"Jul 08, 2022 13:43:03",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695228792503,11.912565641105,4,1,51,17,61,37.274658203125,116.06805419922,
17,pmpeis,1657276983,"Jul 08, 2022 13:43:03",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695228792503,11.912565641105,4,1,52,17,61,43.022659301758,101.82196044922,
17,pmpeis,1657276983,"Jul 08, 2022 13:43:03",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695228792503,11.912565641105,4,1,53,17,61,38.903076171875,100.69525146484,
17,pmpeis,1657276983,"Jul 08, 2022 13:43:03",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695228792503,11.912565641105,4,1,54,17,61,40.247619628906,96.060821533203,
17,pmpeis,1657276983,"Jul 08, 2022 13:43:03",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695228792503,11.912565641105,4,1,55,17,61,37.731918334961,86.478149414062,
17,pmpeis,1657276983,"Jul 08, 2022 13:43:03",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695228792503,11.912565641105,4,1,56,17,62,56.681488037109,54.175567626953,
18,pmpeis,1657277054,"Jul 08, 2022 13:44:14",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695218400109,11.912206225097,4,1,57,18,2,106.3635559082,95.820449829102,
18,pmpeis,1657277054,"Jul 08, 2022 13:44:14",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695218400109,11.912206225097,4,1,58,18,44,101.75018310547,189.80151367188,
18,pmpeis,1657277054,"Jul 08, 2022 13:44:14",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695218400109,11.912206225097,4,1,59,18,44,99.184509277344,234.64471435547,
19,pmpeis,1657277446,"Jul 08, 2022 13:50:46",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695444344421,11.913114488125,4,1,60,19,52,200.17230224609,151.53912353516,
19,pmpeis,1657277446,"Jul 08, 2022 13:50:46",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695444344421,11.913114488125,4,1,61,19,55,90.465606689453,144.52893066406,
19,pmpeis,1657277446,"Jul 08, 2022 13:50:46",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695444344421,11.913114488125,4,1,62,19,55,115.93374633789,183.61865234375,
20,pmpeis,1657277549,"Jul 08, 2022 13:52:29",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695690713497,11.913594603539,4,1,63,20,4,118.41763305664,72.971374511719,
20,pmpeis,1657277549,"Jul 08, 2022 13:52:29",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695690713497,11.913594603539,4,1,64,20,4,119.45448303223,67.686599731445,
20,pmpeis,1657277549,"Jul 08, 2022 13:52:29",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695690713497,11.913594603539,4,1,65,20,19,168.88710021973,93.571166992188,
20,pmpeis,1657277549,"Jul 08, 2022 13:52:29",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695690713497,11.913594603539,4,1,66,20,19,100.1608581543,70.032012939453,
21,pmpeis,1657277676,"Jul 08, 2022 13:54:36",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695772776424,11.913480944932,4,1,67,21,59,96.458068847656,109.50190734863,
