flid,uid,time,timestr,buid,x,y,deck,modelid
1,pmpeis,1657206817,"Jul 07, 2022 18:13:37",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695030261422,11.911734826863,3,1
2,pmpeis,1657206908,"Jul 07, 2022 18:15:08",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.694985824714,11.911623515189,3,1
3,pmpeis,1657206991,"Jul 07, 2022 18:16:31",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.694949451077,11.911523938179,3,1
4,pmpeis,1657207138,"Jul 07, 2022 18:18:58",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.694886379463,11.911481022835,3,1
5,pmpeis,1657207209,"Jul 07, 2022 18:20:09",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.69486469857,11.911546736956,3,1
6,pmpeis,1657207275,"Jul 07, 2022 18:21:15",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695041549771,11.911779083312,3,1
7,pmpeis,1657207416,"Jul 07, 2022 18:23:36",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695122359911,11.912274286151,3,1
8,pmpeis,1657207674,"Jul 07, 2022 18:27:54",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695309960583,11.91274870187,3,1
9,pmpeis,1657207729,"Jul 07, 2022 18:28:49",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695168409067,11.912404373288,3,1
10,pmpeis,1657207770,"Jul 07, 2022 18:29:30",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695271437124,11.912368163466,3,1
11,pmpeis,1657208147,"Jul 07, 2022 18:35:47",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695647711015,11.913310959935,3,1
12,pmpeis,1657208203,"Jul 07, 2022 18:36:43",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695666882961,11.913362927735,3,1
13,pmpeis,1657208285,"Jul 07, 2022 18:38:05",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695713648133,11.913435012102,3,1
14,pmpeis,1657276518,"Jul 08, 2022 13:35:18",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.69497973258,11.911608092487,4,1
15,pmpeis,1657276686,"Jul 08, 2022 13:38:06",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.69496772749,11.911913193762,4,1
16,pmpeis,1657276801,"Jul 08, 2022 13:40:01",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695136515105,11.912076473236,4,1
17,pmpeis,1657276983,"Jul 08, 2022 13:43:03",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695228792503,11.912565641105,4,1
18,pmpeis,1657277054,"Jul 08, 2022 13:44:14",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695218400109,11.912206225097,4,1
19,pmpeis,1657277446,"Jul 08, 2022 13:50:46",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695444344421,11.913114488125,4,1
20,pmpeis,1657277549,"Jul 08, 2022 13:52:29",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695690713497,11.913594603539,4,1
21,pmpeis,1657277676,"Jul 08, 2022 13:54:36",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695772776424,11.913480944932,4,1
22,pmpeis,1657280718,"Jul 08, 2022 14:45:18",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695503293974,11.913284808397,4,1
23,pmpeis,1657280872,"Jul 08, 2022 14:47:52",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695300464106,11.912088543177,4,1
24,pmpeis,1657281062,"Jul 08, 2022 14:51:02",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695143144751,11.911937333643,4,1
25,pmpeis,1657525101,"Jul 11, 2022 10:38:21",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.6949028641,11.911514215171,4,1
26,pmpeis,1657526319,"Jul 11, 2022 10:58:39",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.694980628482,11.911554448307,4,1
27,pmpeis,1657526498,"Jul 11, 2022 11:01:38",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695298672318,11.912288032472,4,1
28,pmpeis,1657526602,"Jul 11, 2022 11:03:22",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695244739447,11.912302114069,4,1
29,pmpeis,1657526756,"Jul 11, 2022 11:05:56",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695222162873,11.912380233407,4,1
30,pmpeis,1657527201,"Jul 11, 2022 11:13:21",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695268032723,11.912173032761,4,1
31,pmpeis,1657528438,"Jul 11, 2022 11:33:58",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.69535977225,11.912812739611,5,1
32,pmpeis,1657528480,"Jul 11, 2022 11:34:40",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695380377776,11.91266220063,5,1
33,pmpeis,1657528569,"Jul 11, 2022 11:36:09",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695410479741,11.91271148622,5,1
34,pmpeis,1657528591,"Jul 11, 2022 11:36:31",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695410658919,11.912754401565,5,1
35,pmpeis,1657529141,"Jul 11, 2022 11:45:41",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695496664394,11.912824809551,5,1
36,pmpeis,1657529211,"Jul 11, 2022 11:46:51",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695514402998,11.912902928889,5,1
37,pmpeis,1657529377,"Jul 11, 2022 11:49:37",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695499352062,11.912933439016,5,1
38,pmpeis,1657531111,"Jul 11, 2022 12:18:31",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695631226717,11.913190931082,5,1
39,pmpeis,1657531579,"Jul 11, 2022 12:26:19",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695612054752,11.913187913597,5,1
40,pmpeis,1657531777,"Jul 11, 2022 12:29:37",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695703614231,11.913300231099,5,1
41,pmpeis,1657531819,"Jul 11, 2022 12:30:19",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695724398738,11.913362927735,5,1
42,pmpeis,1657531984,"Jul 11, 2022 12:33:04",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695757546419,11.913346499205,5,1
43,pmpeis,1657532172,"Jul 11, 2022 12:36:12",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695762205009,11.913269720972,5,1
44,pmpeis,1657532359,"Jul 11, 2022 12:39:19",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695669570616,11.913040727377,5,1
45,pmpeis,1657532443,"Jul 11, 2022 12:40:43",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695569410532,11.912840232253,5,1
46,pmpeis,1657532524,"Jul 11, 2022 12:42:04",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695586253213,11.912855319679,5,1
47,pmpeis,1657532608,"Jul 11, 2022 12:43:28",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695720636027,11.913164444268,5,1
48,pmpeis,1657532725,"Jul 11, 2022 12:45:25",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695660253411,11.913335435092,5,1
49,pmpeis,1657532801,"Jul 11, 2022 12:46:41",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695682292181,11.913363598287,5,1
50,pmpeis,1657532873,"Jul 11, 2022 12:47:53",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695611875575,11.913087330759,5,1
51,pmpeis,1657532972,"Jul 11, 2022 12:49:32",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695591807713,11.913038045168,5,1
52,pmpeis,1657533074,"Jul 11, 2022 12:51:14",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695579982003,11.912882812321,5,1
53,pmpeis,1657533139,"Jul 11, 2022 12:52:19",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695635526969,11.913073584437,5,1
54,pmpeis,1657533235,"Jul 11, 2022 12:53:55",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695608112851,11.913177855313,5,1
55,pmpeis,1657533348,"Jul 11, 2022 12:55:48",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695546475805,11.912978030741,5,1
56,pmpeis,1657533430,"Jul 11, 2022 12:57:10",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.69551261122,11.912914998829,5,1
57,pmpeis,1657533455,"Jul 11, 2022 12:57:35",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695514402998,11.912880130112,5,1
58,pmpeis,1657533526,"Jul 11, 2022 12:58:46",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695566722869,11.913082636893,5,1
59,pmpeis,1657533627,"Jul 11, 2022 13:00:27",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695463158119,11.912802346051,5,1
60,pmpeis,1657533699,"Jul 11, 2022 13:01:39",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695421588793,11.912717521191,5,1
61,pmpeis,1657533733,"Jul 11, 2022 13:02:13",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.69539453287,11.91265180707,5,1
62,pmpeis,1657533794,"Jul 11, 2022 13:03:14",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695483763586,11.912662871182,5,1
63,pmpeis,1657535204,"Jul 11, 2022 13:26:44",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695340062606,11.912690363824,5,1
64,pmpeis,1657535266,"Jul 11, 2022 13:27:46",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695406179462,11.912700422108,5,1
65,pmpeis,1657536630,"Jul 11, 2022 13:50:30",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695450794833,11.912926062942,6,1
66,pmpeis,1657536709,"Jul 11, 2022 13:51:49",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695353501001,11.912671588361,6,1
67,pmpeis,1657537134,"Jul 11, 2022 13:58:54",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695781018542,11.913406848907,6,1
68,pmpeis,1657537419,"Jul 11, 2022 14:03:39",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.69572045685,11.913378685713,7,1
69,pmpeis,1657541842,"Jul 11, 2022 15:17:22",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695522286819,11.912983730435,5,1
70,pmpeis,1657541889,"Jul 11, 2022 15:18:09",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695533395837,11.913009546697,5,1
71,pmpeis,1657542047,"Jul 11, 2022 15:20:47",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695670645678,11.913526542485,5,1
72,pmpeis,1657542141,"Jul 11, 2022 15:22:21",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695766684423,11.913461834192,5,1
73,pmpeis,1657542552,"Jul 11, 2022 15:29:12",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695423201397,11.912719197571,5,1
74,pmpeis,1657542580,"Jul 11, 2022 15:29:40",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695345617143,11.912672258914,5,1
75,pmpeis,1657542680,"Jul 11, 2022 15:31:20",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695219475184,11.912569664419,5,1
76,pmpeis,1657542754,"Jul 11, 2022 15:32:34",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.694927591041,11.911811940372,5,1
77,pmpeis,1657543294,"Jul 11, 2022 15:41:34",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695020406512,11.911682523787,4,1
