foid,flid,oid,height,width,ocr
1,1,43,181.2619934082,276.28167724609,
2,2,2,91.383850097656,121.46068572998,
3,2,44,114.7477722168,156.29815673828,a3
4,2,44,65.549346923828,150.61175537109,
5,2,47,92.027526855469,158.10913085938,
6,2,57,83.95166015625,137.29473876953,
7,2,59,61.653991699219,93.919677734375,
8,2,60,50.195709228516,83.281341552734,
9,3,55,79.634063720703,96.124359130859,
10,3,62,57.798583984375,75.673889160156,
11,4,64,128.4871673584,175.50840759277,
12,5,2,123.61953735352,125.2474822998,
13,6,5,83.827331542969,78.283889770508,
